symbol,disclosed,any_sell_after_cooloff,insider_sell_after_cooloff,pit_insider_sell_after_cooloff,pit_window_covered,window_complete
FORTIS,2021-01-08,0,0,0,False,True
KOTAKBANK,2021-01-08,1,0,0,False,True
KOTAKBANK,2021-01-06,1,0,0,False,True
EXPLEOSOL,2021-05-27,0,0,0,False,True
RELIANCE,2021-05-19,1,0,1,False,True
KOTAKBANK,2021-05-05,1,0,0,False,True
EXPLEOSOL,2021-07-28,0,0,0,False,True
KOTAKBANK,2021-02-23,1,0,0,False,True
RAMCOSYS,2021-02-16,1,0,0,False,True
SASKEN,2021-02-04,0,0,0,False,True
SASKEN,2021-02-04,0,0,0,False,True
KOTAKBANK,2021-10-28,1,0,0,False,True
KOTAKBANK,2021-10-28,1,0,0,False,True
KOTAKBANK,2021-10-26,1,0,0,False,True
KOTAKBANK,2021-11-17,1,0,0,False,True
KOTAKBANK,2021-11-17,1,0,0,False,True
CHEMFAB,2021-11-02,1,0,0,False,True
MEDICAMEQ,2021-12-31,0,0,0,True,True
MEDICAMEQ,2021-12-29,0,0,0,True,True
MEDICAMEQ,2021-12-21,0,0,0,True,True
MEDICAMEQ,2021-12-21,0,0,0,True,True
MEDICAMEQ,2021-12-18,0,0,0,True,True
MEDICAMEQ,2021-12-18,0,0,0,True,True
MEDICAMEQ,2021-12-16,0,0,0,True,True
MEDICAMEQ,2021-12-16,0,0,0,True,True
MEDICAMEQ,2021-12-16,0,0,0,True,True
MEDICAMEQ,2021-12-14,0,0,0,True,True
MEDICAMEQ,2021-12-14,0,0,0,True,True
MEDICAMEQ,2021-12-10,0,0,0,True,True
MEDICAMEQ,2021-12-10,0,0,0,True,True
KOTAKBANK,2021-12-02,1,0,0,False,True
KOTAKBANK,2022-01-21,1,0,0,False,True
KOTAKBANK,2022-01-06,1,0,0,False,True
MEDICAMEQ,2022-01-03,0,0,0,True,True
ASIANPAINT,2022-02-15,1,0,0,False,True
AHLUCONT,2023-01-19,0,0,0,False,True
IRIS,2023-01-10,0,0,1,False,True
SYNGENE,2023-02-15,0,0,0,False,True
PNBGILTS,2023-03-20,1,0,0,False,True
SASKEN,2023-03-02,1,0,0,False,True
ASIANPAINT,2023-04-28,1,0,0,False,True
ASIANPAINT,2023-10-30,0,0,0,False,True
CONCORDBIO,2023-10-11,1,0,1,False,True
DCXINDIA,2023-10-05,1,1,1,False,True
AIFL,2023-09-30,0,0,0,False,True
HARDWYN,2023-09-29,1,0,0,False,True
ASKAUTOLTD,2023-12-28,0,0,1,False,True
ASIANPAINT,2024-02-13,1,0,0,False,True
SASKEN,2024-03-29,1,0,0,False,True
SASKEN,2024-03-27,1,0,0,False,True
MEDICAMEQ,2024-03-26,0,0,1,True,True
MEDICAMEQ,2024-03-16,0,0,1,True,True
MEDICAMEQ,2024-03-08,0,0,1,True,True
MEDICAMEQ,2024-03-06,0,0,1,True,True
MEDICAMEQ,2024-03-02,0,0,1,True,True
PNBGILTS,2024-04-03,1,0,0,False,True
SHIVALIK,2024-06-29,1,0,0,False,True
SHIVALIK,2024-06-26,1,0,0,False,True
SASKEN,2024-05-07,1,0,0,False,True
RPPL,2024-09-27,0,0,0,True,True
MEDICAMEQ,2024-09-18,0,0,1,False,True
INOXINDIA,2024-08-13,1,0,1,False,True
RAMCOCEM,2024-11-27,0,0,0,False,True
CHEMFAB,2024-11-13,0,0,0,False,True
RAMCOSYS,2024-11-12,1,0,0,True,True
ASIANPAINT,2024-11-06,1,0,0,False,True
RELIANCE,2024-12-20,1,0,1,False,True
RAMCOSYS,2024-12-05,1,0,0,True,True
MANAPPURAM,2025-01-23,1,0,0,False,True
MANAPPURAM,2025-01-11,1,0,1,False,True
TARMAT,2025-02-27,1,0,0,False,True
MANOMAY,2025-03-29,1,0,0,False,True
RAMCOSYS,2025-03-25,1,0,0,False,True
MEDICAMEQ,2025-03-22,0,0,1,False,True
RAMCOSYS,2025-03-21,1,0,0,False,True
AVG,2025-03-18,1,0,0,False,True
AVG,2025-03-17,1,0,0,False,True
SONATSOFTW,2025-03-14,1,0,0,False,True
RELIANCE,2025-03-07,1,0,1,False,True
MANOMAY,2025-03-07,1,0,0,False,True
ABREL,2025-05-16,0,0,0,False,False
INTELLECT,2025-05-13,0,0,0,False,False
INTELLECT,2025-05-09,0,0,0,False,False
RAMCOSYS,2025-05-05,1,0,0,False,False
TRENT,2025-05-05,0,0,0,False,False
RELIANCE,2025-05-02,1,0,1,False,False
RAMCOSYS,2025-04-21,1,0,0,False,False
RAMCOSYS,2025-04-16,1,0,0,False,False
RAMCOCEM,2025-04-10,0,0,0,False,False
ASIANPAINT,2025-06-09,1,0,0,False,False
DPSCLTD,2025-06-05,0,0,0,False,False
RAMCOSYS,2025-08-29,1,0,0,False,False
SONATSOFTW,2025-08-26,1,0,0,False,False
DCMSHRIRAM,2025-08-26,0,0,0,False,False
KSB,2025-08-19,1,0,0,False,False
KRIDHANINF,2025-09-27,1,0,0,False,False
KALYANI,2025-09-26,0,0,0,False,False
MANOMAY,2025-09-02,1,0,0,False,False
RAMCOSYS,2025-10-13,1,0,0,False,False
RAMCOSYS,2025-10-13,1,0,0,False,False
SURYODAY,2025-11-13,1,0,0,False,False
CHEMFAB,2025-11-11,0,0,0,False,False
WHEELS,2025-11-10,1,0,0,False,False
WHEELS,2025-11-07,1,0,0,False,False
JSFB,2025-12-29,1,1,0,False,False
SHIVALIK,2025-12-22,0,0,0,False,False
TRENT,2025-12-10,0,0,0,False,False
DCMSHRIRAM,2026-01-20,0,0,0,False,False
INOXINDIA,2026-02-19,0,0,0,False,False
ASIANPAINT,2026-03-19,0,0,0,False,False
SONATSOFTW,2026-03-13,1,0,0,False,False
INOXINDIA,2026-06-25,0,0,0,False,False
GICL,2026-06-08,0,0,0,False,False
STANLEY,2026-06-04,0,0,0,False,False
SHIVALIK,2026-06-04,0,0,0,False,False
SURYODAY,2026-07-30,0,0,0,False,False
SHIVALIK,2026-07-28,0,0,0,False,False
BANDHANBNK,2026-07-17,0,0,0,False,False
BANDHANBNK,2026-07-17,0,0,0,False,False
NEPHROPLUS,2026-08-05,0,0,0,False,False
SHIVALIK,2026-08-05,0,0,0,False,False
KOTAKBANK,2021-04-23,1,0,0,False,True
KOTAKBANK,2021-04-19,1,0,0,False,True
KOTAKBANK,2021-04-19,1,0,0,False,True
RELIANCE,2024-12-23,1,0,1,False,True
SUNDARMFIN,2022-02-26,0,0,0,False,True
SASKEN,2022-02-24,0,0,0,False,True
VISESHINFO,2022-03-31,0,0,0,False,True
