bin,n,predicted,realised,abs_error
0,2383,0.06143295600589671,0.04741921947125472,0.01401373653464199
1,2383,0.08655533350842828,0.055392362568191356,0.031162970940236928
2,2383,0.10652278260670524,0.07175828787242972,0.03476449473427552
3,2383,0.12617959476462087,0.08938313050776332,0.03679646425685755
4,2383,0.14779908596087352,0.10239194292908099,0.045407143031792524
5,2382,0.17153135799208016,0.12048698572628044,0.05104437226579972
6,2383,0.19897530203116218,0.1200167855644146,0.07895851646674758
7,2383,0.2341838014543945,0.15232899706252623,0.08185480439186826
8,2383,0.27773233772657546,0.16030214015946287,0.11743019756711259
9,2383,0.3661888572311609,0.23625681913554344,0.12993203809561746
