symbol,months_scored,mean_score,max_score,best_rank,times_top50,times_top50_wallet,events_followed,months_with_event,realised_wallet_cr,company,hit_rate_when_scored,times_surfaced,surfaced_hits,surfaced_wallet_cr,precision_when_surfaced
MOBIKWIK,13,0.5442849835038192,0.5979780009181968,1.0,13,0,9,9,182.27033403000001,One Mobikwik Systems Limited,0.6923076923076923,13.0,9.0,1132.83362829,0.6923076923076923
POCL,13,0.4206728864953341,0.48749198237813324,18.0,13,0,10,10,114.3243,Pondy Oxides & Chemicals Limited,0.7692307692307693,13.0,10.0,341.9883,0.7692307692307693
APOLLO,13,0.421278988204002,0.4984934136122549,15.0,11,0,7,7,0.0,Apollo Micro Systems Limited,0.5384615384615384,11.0,5.0,0.0,0.45454545454545453
YATHARTH,13,0.40828275653722784,0.4815776242552002,9.0,11,2,7,7,403.9321924,Yatharth Hospital & Trauma Care Services Limited,0.5384615384615384,11.0,7.0,2423.5931544,0.6363636363636364
ATALREAL,13,0.39423400805588826,0.45474797304641645,30.0,11,0,0,0,0.0,Atal Realtech Limited,0.0,11.0,0.0,0.0,0.0
AWFIS,13,0.417018591310085,0.5791576631551016,1.0,10,1,9,9,213.34433468400005,Awfis Space Solutions Limited,0.6923076923076923,10.0,8.0,1066.7216734200001,0.8
AVALON,13,0.4086720154072526,0.5109371066263697,8.0,10,0,6,6,137.27450059999998,Avalon Technologies Limited,0.46153846153846156,10.0,4.0,549.0980023999999,0.4
KAYNES,13,0.427275812699999,0.48964164377943914,4.0,10,6,6,6,346.929375,Kaynes Technology India Limited,0.46153846153846156,10.0,5.0,1734.646875,0.5
VINCOFE,13,0.4402750700972071,0.48421651320645104,7.0,10,0,6,6,0.0,Vintage Coffee And Beverages Limited,0.46153846153846156,10.0,3.0,0.0,0.3
UEL,13,0.4039224990987555,0.4777231322025736,13.0,10,0,6,6,0.0,Ujaas Energy Limited,0.46153846153846156,10.0,6.0,0.0,0.6
ANGELONE,13,0.4094590900214368,0.472377063821002,6.0,10,0,6,6,0.0,Angel One Limited,0.46153846153846156,10.0,6.0,0.0,0.6
NETWEB,13,0.4259882876207856,0.5340069100257486,1.0,9,0,5,5,636.1734141000001,Netweb Technologies India Limited,0.38461538461538464,9.0,5.0,3180.8670705000004,0.5555555555555556
SURAJEST,13,0.4133572093310951,0.48605049596611066,6.0,9,0,0,0,0.0,Suraj Estate Developers Limited,0.0,9.0,0.0,0.0,0.0
VMM,13,0.4151439020302573,0.5895606371738135,2.0,8,7,11,11,5112.45,Vishal Mega Mart Limited,0.8461538461538461,8.0,6.0,30588.120000000003,0.75
PREMIERENE,13,0.3990002588600995,0.5843016658981574,3.0,8,7,8,8,2628.9999999999995,Premier Energies Limited,0.6153846153846154,8.0,5.0,13144.999999999998,0.625
INOXINDIA,13,0.40947046497846273,0.5653249015741996,1.0,8,0,2,2,3.1847299,INOX India Limited,0.15384615384615385,8.0,0.0,0.0,0.0
RACLGEAR,13,0.36618594758909395,0.5458796091865308,5.0,8,0,3,3,0.0,RACL Geartech Limited,0.23076923076923078,8.0,0.0,0.0,0.0
BALUFORGE,13,0.3965751295578557,0.5101286923457513,4.0,8,0,1,1,0.0,Balu Forge Industries Limited,0.07692307692307693,8.0,0.0,0.0,0.0
AARTIPHARM,13,0.4150921732893827,0.4776394186147051,9.0,8,0,9,9,27.7885763,Aarti Pharmalabs Limited,0.6923076923076923,8.0,5.0,123.02957279999998,0.625
OLAELEC,13,0.34406472566675883,0.6104409446469009,1.0,7,7,13,13,551.9654649600001,Ola Electric Mobility Limited,1.0,7.0,7.0,551.234167512,1.0
BLACKBUCK,13,0.3219550551376317,0.5728371266307394,1.0,7,2,12,12,944.0524005429999,BLACKBUCK LIMITED,0.9230769230769231,7.0,6.0,1436.02603929,0.8571428571428571
AFIL,13,0.33469333927884093,0.5177161466261301,10.0,7,0,10,10,5.046141,Akme Fintrade (India) Limited,0.7692307692307693,7.0,4.0,16.481823000000002,0.5714285714285714
AVANTEL,13,0.40425412501518543,0.5067573051960306,11.0,7,0,6,6,26.157,Avantel Limited,0.46153846153846156,7.0,0.0,0.0,0.0
MASTERTR,13,0.33375717130479177,0.5035934564588094,8.0,7,0,13,13,71.32532143,Master Trust Limited,1.0,7.0,7.0,95.38975989999999,1.0
PROSTARM,7,0.474472053501032,0.5876869671020479,3.0,6,0,1,1,4.4235,Prostarm Info Systems Limited,0.14285714285714285,6.0,0.0,0.0,0.0
AADHARHFC,13,0.39172556699135463,0.5512555011955125,3.0,6,0,5,5,13863.1326725,Aadhar Housing Finance Limited,0.38461538461538464,6.0,0.0,0.0,0.0
SENCO,13,0.3881250327892777,0.5304483484133264,3.0,6,0,0,0,0.0,Senco Gold Limited,0.0,6.0,0.0,0.0,0.0
SIGNPOST,13,0.37950436324709175,0.5213453084888267,9.0,6,0,13,13,112.430581904,Signpost India Limited,1.0,6.0,6.0,449.722327616,1.0
ONESOURCE,12,0.39935421494783235,0.5154466469253839,2.0,6,1,8,8,1012.8970771,Onesource Specialty Pharma Limited,0.6666666666666666,6.0,5.0,3644.8796683,0.8333333333333334
KRONOX,13,0.3888834471844398,0.5086601679483088,4.0,6,0,0,0,0.0,Kronox Lab Sciences Limited,0.0,6.0,0.0,0.0,0.0
HONASA,13,0.3821788238583237,0.49478603924046555,10.0,6,0,0,0,0.0,Honasa Consumer Limited,0.0,6.0,0.0,0.0,0.0
DATAPATTNS,13,0.38294219202420293,0.4731339572141999,8.0,6,0,0,0,0.0,Data Patterns (India) Limited,0.0,6.0,0.0,0.0,0.0
ZAGGLE,13,0.36811372381247054,0.4538556332422648,32.0,6,0,0,0,0.0,Zaggle Prepaid Ocean Services Limited,0.0,6.0,0.0,0.0,0.0
GVPTECH,13,0.36869935664828785,0.4462341237952459,21.0,6,0,7,7,2.3324,GVP Infotech Limited,0.5384615384615384,6.0,4.0,9.3296,0.6666666666666666
MANAPPURAM,13,0.38268523534700827,0.4377820863416859,13.0,6,0,9,9,2.33,Manappuram Finance Limited,0.6923076923076923,6.0,5.0,9.32,0.8333333333333334
NAZARA,13,0.3670296556007139,0.4166625869149585,31.0,6,0,2,2,111.72,Nazara Technologies Limited,0.15384615384615385,6.0,1.0,111.72,0.16666666666666666
SAGILITY,13,0.3064197597352225,0.5745749970267037,2.0,5,2,12,12,3660.44,SAGILITY LIMITED,0.9230769230769231,5.0,4.0,10981.32,0.8
NIVABUPA,13,0.3624359795943438,0.567698245635447,2.0,5,0,6,6,0.0,Niva Bupa Health Insurance Company Limited,0.46153846153846156,5.0,0.0,0.0,0.0
MOSCHIP,11,0.33968420491729295,0.5317016754297724,4.0,5,0,11,11,29.996369717,Moschip Technologies Limited,1.0,5.0,5.0,28.838599717,1.0
ABFRL,13,0.37521126388465026,0.5124752593307339,13.0,5,0,0,0,0.0,Aditya Birla Fashion and Retail Limited,0.0,5.0,0.0,0.0,0.0
INDGN,13,0.3497291033760653,0.4959055662485476,6.0,5,10,6,6,451.35991065600007,Indegene Limited,0.46153846153846156,5.0,2.0,902.7198213120001,0.4
AMBER,13,0.37263713765958495,0.4839918177331196,4.0,5,0,6,6,0.0,Amber Enterprises India Limited,0.46153846153846156,5.0,1.0,0.0,0.2
ATL,13,0.3758869747518104,0.46603359152056806,11.0,5,0,0,0,0.0,Allcargo Terminals Limited,0.0,5.0,0.0,0.0,0.0
AETHER,13,0.3511840499597012,0.45959596628827637,14.0,5,8,6,6,656.2734989,Aether Industries Limited,0.46153846153846156,5.0,5.0,3281.3674945000002,1.0
MEDICO,13,0.3569782941376917,0.4552911132957135,15.0,5,0,9,9,0.0,Medico Remedies Limited,0.6923076923076923,5.0,5.0,0.0,1.0
NARMADA,13,0.3634699917369152,0.4529545784261918,19.0,5,0,0,0,0.0,Narmada Agrobase Limited,0.0,5.0,0.0,0.0,0.0
SBGLP,13,0.34949023798993817,0.44678598045146417,23.0,5,0,0,0,0.0,Suratwwala Business Group Limited,0.0,5.0,0.0,0.0,0.0
HPIL,13,0.38051368061547575,0.4444902335708288,20.0,5,0,6,6,1.2018232800000002,Hindprakash Industries Limited,0.46153846153846156,5.0,3.0,3.6054698400000005,0.6
TARACHAND,13,0.3475389402003453,0.40844428215671447,40.0,5,0,0,0,0.0,Tara Chand InfraLogistic Solutions Limited,0.0,5.0,0.0,0.0,0.0
JSWINFRA,13,0.32529361609066976,0.5921434593696719,2.0,4,8,7,7,1210.482,JSW Infrastructure Limited,0.5384615384615384,4.0,1.0,0.0,0.25
SAILIFE,13,0.3357955940509212,0.5497860502402976,2.0,4,5,6,6,892.4019806460001,Sai Life Sciences Limited,0.46153846153846156,4.0,0.0,0.0,0.0
RRKABEL,13,0.37027955864590695,0.5407050845425081,6.0,4,0,0,0,0.0,R R Kabel Limited,0.0,4.0,0.0,0.0,0.0
SUYOG,13,0.3205381841169537,0.5259537778510877,7.0,4,0,7,7,49.235709850000006,Suyog Telematics Limited,0.5384615384615384,4.0,1.0,26.383016,0.25
SPANDANA,13,0.34069323477146973,0.4653618137377025,11.0,4,0,1,1,14.159372279999998,Spandana Sphoorty Financial Limited,0.07692307692307693,4.0,0.0,0.0,0.0
TEJASNET,13,0.32932685610366874,0.46075232493796825,10.0,4,0,0,0,0.0,Tejas Networks Limited,0.0,4.0,0.0,0.0,0.0
BAJAJHCARE,13,0.362292843818093,0.4584105619083451,16.0,4,0,4,4,0.0,Bajaj Healthcare Limited,0.3076923076923077,4.0,0.0,0.0,0.0
LLOYDSENT,13,0.2634302825998755,0.4577068222868038,9.0,4,0,6,6,0.0,Lloyds Enterprises Limited,0.46153846153846156,4.0,0.0,0.0,0.0
AVL,13,0.23768089346938379,0.4556130395305854,10.0,4,0,6,6,199.7620694,Aditya Vision Limited,0.46153846153846156,4.0,0.0,0.0,0.0
MEDIASSIST,13,0.3696218827066095,0.4552094729179276,16.0,4,6,7,7,577.8370095000001,Medi Assist Healthcare Services Limited,0.5384615384615384,4.0,1.0,0.0,0.25
SONACOMS,13,0.34111748798948993,0.4454614400830186,24.0,4,0,0,0,0.0,Sona BLW Precision Forgings Limited,0.0,4.0,0.0,0.0,0.0
PGEL,13,0.3266163835717756,0.43947012826962495,29.0,4,0,6,6,18.2232111,PG Electroplast Limited,0.46153846153846156,4.0,0.0,0.0,0.0
EASEMYTRIP,13,0.34847985638716417,0.4394448889179145,29.0,4,8,3,3,0.0,Easy Trip Planners Limited,0.23076923076923078,4.0,0.0,0.0,0.0
BLS,13,0.32526216958034543,0.43511350886924804,26.0,4,3,0,0,0.0,BLS International Services Limited,0.0,4.0,0.0,0.0,0.0
TRU,13,0.364274216489328,0.43109253473915693,43.0,4,0,6,6,0.0,TruCap Finance Limited,0.46153846153846156,4.0,3.0,0.0,0.75
CUPID,13,0.3481886987827177,0.4286918856616053,45.0,4,0,0,0,0.0,Cupid Limited,0.0,4.0,0.0,0.0,0.0
ADANIENSOL,13,0.32512257893534435,0.4283649146010077,32.0,4,0,0,0,0.0,Adani Energy Solutions Limited,0.0,4.0,0.0,0.0,0.0
RISHABH,13,0.26034076789555594,0.5107727023854243,8.0,3,0,6,6,3.8495,Rishabh Instruments Limited,0.46153846153846156,3.0,0.0,0.0,0.0
NUVAMA,13,0.3336185445903076,0.5023000622744985,2.0,3,13,0,0,0.0,Nuvama Wealth Management Limited,0.0,3.0,0.0,0.0,0.0
DOMS,13,0.3616083948826203,0.49555707148640593,3.0,3,12,1,1,419.77335600000004,DOMS Industries Limited,0.07692307692307693,3.0,0.0,0.0,0.0
EMCURE,13,0.27906939783629003,0.4895760654945368,18.0,3,5,9,9,1077.6757593,Emcure Pharmaceuticals Limited,0.6923076923076923,3.0,0.0,0.0,0.0
TATATECH,13,0.2947141427889976,0.48777666627846483,8.0,3,9,4,4,1068.0466027559999,Tata Technologies Limited,0.3076923076923077,3.0,0.0,0.0,0.0
LLOYDSENGG,13,0.2608266701588391,0.48119777145064213,20.0,3,0,6,6,0.0,LLOYDS ENGINEERING WORKS LIMITED,0.46153846153846156,3.0,0.0,0.0,0.0
PARAS,13,0.3405361499950978,0.47880198162244575,7.0,3,0,9,9,279.325807296,Paras Defence and Space Technologies Limited,0.6923076923076923,3.0,3.0,316.971720196,1.0
NPST,9,0.29242618430175477,0.47555104312895735,15.0,3,0,5,5,110.61824752500002,Network People Services Technologies Limited,0.5555555555555556,3.0,1.0,0.0,0.3333333333333333
SKYGOLD,13,0.3596842064451216,0.4754697863669277,22.0,3,0,6,6,243.79635000000002,SKY GOLD AND DIAMONDS LIMITED,0.46153846153846156,3.0,0.0,0.0,0.0
CONCORDBIO,13,0.359141875658013,0.47448800480746833,17.0,3,0,0,0,0.0,Concord Biotech Limited,0.0,3.0,0.0,0.0,0.0
MANKIND,13,0.33462319030838056,0.4727505944929594,10.0,3,9,0,0,0.0,Mankind Pharma Limited,0.0,3.0,0.0,0.0,0.0
AZAD,13,0.33048424803214077,0.47059191038096354,24.0,3,7,6,6,514.3651153559999,Azad Engineering Limited,0.46153846153846156,3.0,0.0,0.0,0.0
DYCL,13,0.36070723823799916,0.46925527907183195,8.0,3,0,0,0,0.0,Dynamic Cables Limited,0.0,3.0,0.0,0.0,0.0
ATHERENERG,8,0.26344726589043516,0.4616717854873639,8.0,3,2,6,6,631.3544999999999,Ather Energy Limited,0.75,3.0,1.0,631.3544999999999,0.3333333333333333
CURAA,10,0.3315241344190714,0.4595158950356484,28.0,3,0,3,3,0.0,Cura Technologies Limited,0.3,3.0,0.0,0.0,0.0
INDUSTOWER,13,0.28935753047744905,0.45768606250779564,17.0,3,12,0,0,0.0,Indus Towers Limited,0.0,3.0,0.0,0.0,0.0
INDIGO,13,0.3356604732742605,0.45762736910895313,13.0,3,11,9,9,5320.67256,InterGlobe Aviation Limited,0.6923076923076923,3.0,3.0,4395.92076,1.0
POWERINDIA,13,0.303471055610243,0.4477536405266166,22.0,3,0,3,3,0.0,Hitachi Energy India Limited,0.23076923076923078,3.0,0.0,0.0,0.0
PRIVISCL,13,0.24631169367734898,0.44257603873952023,39.0,3,0,12,12,2059.6101571,Privi Speciality Chemicals Limited,0.9230769230769231,3.0,2.0,4119.2203142,0.6666666666666666
CYIENTDLM,13,0.32155108772394136,0.4409130600218111,14.0,3,13,0,0,0.0,Cyient DLM Limited,0.0,3.0,0.0,0.0,0.0
WESTLIFE,13,0.29994714104571024,0.4401629366591882,42.0,3,0,11,11,11.2623143,WESTLIFE FOODWORLD LIMITED,0.8461538461538461,3.0,3.0,8.424885,1.0
TINNARUBR,9,0.30971845004415505,0.43751371200732514,38.0,3,0,2,2,0.0,Tinna Rubber and Infrastructure Limited,0.2222222222222222,3.0,0.0,0.0,0.0
PAISALO,13,0.2719801738526592,0.4364085173848162,41.0,3,0,9,9,0.0,Paisalo Digital Limited,0.6923076923076923,3.0,2.0,0.0,0.6666666666666666
STARCEMENT,13,0.2833437516585273,0.43265871024132735,31.0,3,0,6,6,2.5017559,Star Cement Limited,0.46153846153846156,3.0,1.0,2.5017559,0.3333333333333333
CGCL,13,0.35776838611832223,0.4302106063689618,16.0,3,0,6,6,0.0,Capri Global Capital Limited,0.46153846153846156,3.0,3.0,0.0,1.0
SANDUMA,13,0.34174843888557727,0.4256161241412784,19.0,3,0,0,0,0.0,Sandur Manganese & Iron Ores Limited,0.0,3.0,0.0,0.0,0.0
PAR,13,0.3242021641327396,0.4213631716563138,30.0,3,0,0,0,0.0,Par Drugs And Chemicals Limited,0.0,3.0,0.0,0.0,0.0
GREAVESCOT,13,0.32834129908662896,0.4207150336411645,31.0,3,0,0,0,0.0,Greaves Cotton Limited,0.0,3.0,0.0,0.0,0.0
DAVANGERE,13,0.3601543237752367,0.41880780949450525,25.0,3,0,9,9,2.695,Davangere Sugar Company Limited,0.6923076923076923,3.0,3.0,0.0,1.0
E2E,13,0.3625266650529889,0.4175826203616547,40.0,3,0,6,6,0.0,E2E Networks Limited,0.46153846153846156,3.0,1.0,0.0,0.3333333333333333
GLAND,13,0.3158668648151122,0.41499449687289747,29.0,3,0,0,0,0.0,Gland Pharma Limited,0.0,3.0,0.0,0.0,0.0
ANANDRATHI,13,0.29289130406751657,0.41037972168617093,24.0,3,1,13,13,1060.028462,Anand Rathi Wealth Limited,1.0,3.0,3.0,2120.056924,1.0
MKPL,13,0.32526603213169963,0.406280170376763,32.0,3,0,0,0,0.0,M K Proteins Limited,0.0,3.0,0.0,0.0,0.0
ORICONENT,13,0.3280748322827813,0.4032004495285926,37.0,3,0,0,0,0.0,Oricon Enterprises Limited,0.0,3.0,0.0,0.0,0.0
SALZERELEC,13,0.20846138036010167,0.40173481266750055,24.0,3,0,6,6,1.0367585,Salzer Electronics Limited,0.46153846153846156,3.0,0.0,0.0,0.0
QUESS,13,0.2891452621612175,0.39994740086040853,45.0,3,0,0,0,0.0,Quess Corp Limited,0.0,3.0,0.0,0.0,0.0
MARKOLINES,3,0.371516910092117,0.39615654962594116,28.0,3,0,2,2,4.945568247,Markolines Pavement Technologies Limited,0.6666666666666666,3.0,2.0,7.836480890999999,0.6666666666666666
ANUP,13,0.3312563566261423,0.39450701714468056,42.0,3,0,0,0,0.0,The Anup Engineering Limited,0.0,3.0,0.0,0.0,0.0
LAL,13,0.3023046390268282,0.39419964912354394,36.0,3,0,3,3,1.0821734,Lorenzini Apparels Limited,0.23076923076923078,3.0,0.0,0.0,0.0
