decile,n,events,realised_rate,predicted_rate,lift,wallet_cr
0,2383,563,0.23625681913554344,0.3661888572311609,2.0442134143721367,202096.686926576
1,2383,382,0.16030214015946287,0.27773233772657546,1.387015140835091,223545.098848182
2,2383,363,0.15232899706252623,0.2341838014543945,1.3180274767621414,214975.44507491
3,2383,286,0.1200167855644146,0.19897530203116218,1.0384458907822933,84579.305266532
4,2383,287,0.12043642467477969,0.17152635559014442,1.0420768204703432,153297.077296863
5,2382,244,0.10243492863140219,0.14779412729243593,0.8863187779076553,57082.069315013
6,2383,213,0.08938313050776332,0.12617959476462087,0.773388023554645,50649.645718441
7,2383,171,0.07175828787242972,0.10652278260670524,0.6208889766565461,37281.888663198
8,2383,132,0.055392362568191356,0.08655533350842828,0.4792827188225969,27407.145041852
9,2383,113,0.04741921947125472,0.06143295600589671,0.41029505474964734,77247.6556517
