symbol,rule,signal_date,eligible_date,days_to_eligible,holder_class,confidence,basis
RAMCOCEM,trading_plan_disclosed,2025-04-10,2025-08-08,-364,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
RAMCOSYS,trading_plan_disclosed,2025-04-16,2025-08-14,-358,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
RAMCOSYS,trading_plan_disclosed,2025-04-21,2025-08-19,-353,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
RELIANCE,trading_plan_disclosed,2025-05-02,2025-08-30,-342,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
RAMCOSYS,trading_plan_disclosed,2025-05-05,2025-09-02,-339,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
TRENT,trading_plan_disclosed,2025-05-05,2025-09-02,-339,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
INTELLECT,trading_plan_disclosed,2025-05-09,2025-09-06,-335,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
INTELLECT,trading_plan_disclosed,2025-05-13,2025-09-10,-331,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
ABREL,trading_plan_disclosed,2025-05-16,2025-09-13,-328,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
DPSCLTD,trading_plan_disclosed,2025-06-05,2025-10-03,-308,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
ASIANPAINT,trading_plan_disclosed,2025-06-09,2025-10-07,-304,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
KSB,trading_plan_disclosed,2025-08-19,2025-12-17,-233,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
SONATSOFTW,trading_plan_disclosed,2025-08-26,2025-12-24,-226,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
DCMSHRIRAM,trading_plan_disclosed,2025-08-26,2025-12-24,-226,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
RAMCOSYS,trading_plan_disclosed,2025-08-29,2025-12-27,-223,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
MANOMAY,trading_plan_disclosed,2025-09-02,2025-12-31,-219,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
KALYANI,trading_plan_disclosed,2025-09-26,2026-01-24,-195,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
KRIDHANINF,trading_plan_disclosed,2025-09-27,2026-01-25,-194,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
RAMCOSYS,trading_plan_disclosed,2025-10-13,2026-02-10,-178,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
RAMCOSYS,trading_plan_disclosed,2025-10-13,2026-02-10,-178,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
WHEELS,trading_plan_disclosed,2025-11-07,2026-03-07,-153,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
WHEELS,trading_plan_disclosed,2025-11-10,2026-03-10,-150,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
CHEMFAB,trading_plan_disclosed,2025-11-11,2026-03-11,-149,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
SURYODAY,trading_plan_disclosed,2025-11-13,2026-03-13,-147,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
TRENT,trading_plan_disclosed,2025-12-10,2026-04-09,-120,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
SHIVALIK,trading_plan_disclosed,2025-12-22,2026-04-21,-108,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
JSFB,trading_plan_disclosed,2025-12-29,2026-04-28,-101,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
DCMSHRIRAM,trading_plan_disclosed,2026-01-20,2026-05-20,-79,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
INOXINDIA,trading_plan_disclosed,2026-02-19,2026-06-19,-49,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
SONATSOFTW,trading_plan_disclosed,2026-03-13,2026-07-11,-27,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
ASIANPAINT,trading_plan_disclosed,2026-03-19,2026-07-17,-21,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
STANLEY,trading_plan_disclosed,2026-06-04,2026-10-02,56,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
SHIVALIK,trading_plan_disclosed,2026-06-04,2026-10-02,56,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
GICL,trading_plan_disclosed,2026-06-08,2026-10-06,60,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
INOXINDIA,trading_plan_disclosed,2026-06-25,2026-10-23,77,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
BANDHANBNK,trading_plan_disclosed,2026-07-17,2026-11-14,99,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
BANDHANBNK,trading_plan_disclosed,2026-07-17,2026-11-14,99,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
SHIVALIK,trading_plan_disclosed,2026-07-28,2026-11-25,110,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
SURYODAY,trading_plan_disclosed,2026-07-30,2026-11-27,112,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
NEPHROPLUS,trading_plan_disclosed,2026-08-05,2026-12-03,118,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
SHIVALIK,trading_plan_disclosed,2026-08-05,2026-12-03,118,insider,very_high,"SEBI PIT Reg 5 - 120-day cooling off, plan irrevocable"
KNACK,lockin_expiry_anchor_30d,2026-07-08,2026-08-07,0,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
788TACA31,lockin_expiry_anchor_30d,2026-07-09,2026-08-08,1,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
ICELCO,lockin_expiry_anchor_30d,2026-07-10,2026-08-09,2,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
VALUE360,lockin_expiry_anchor_90d,2026-05-11,2026-08-09,2,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
783LTFL29,lockin_expiry_anchor_30d,2026-07-10,2026-08-09,2,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
783LTFL29,lockin_expiry_anchor_30d,2026-07-10,2026-08-09,2,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
783LTFL29,lockin_expiry_anchor_30d,2026-07-10,2026-08-09,2,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_non_promoter_6m,2026-02-10,2026-08-10,3,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_promoter_excess_6m,2026-02-10,2026-08-10,3,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_aif_vcf_6m,2026-02-10,2026-08-10,3,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_non_promoter_6m,2026-02-10,2026-08-10,3,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_promoter_excess_6m,2026-02-10,2026-08-10,3,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_aif_vcf_6m,2026-02-10,2026-08-10,3,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_non_promoter_6m,2026-02-10,2026-08-10,3,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_promoter_excess_6m,2026-02-10,2026-08-10,3,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ADANIENPP1,lockin_expiry_aif_vcf_6m,2026-02-10,2026-08-10,3,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
GJL,lockin_expiry_non_promoter_6m,2026-02-11,2026-08-11,4,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
GJL,lockin_expiry_promoter_excess_6m,2026-02-11,2026-08-11,4,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
GJL,lockin_expiry_aif_vcf_6m,2026-02-11,2026-08-11,4,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
BRANDMAN,lockin_expiry_non_promoter_6m,2026-02-11,2026-08-11,4,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
BRANDMAN,lockin_expiry_promoter_excess_6m,2026-02-11,2026-08-11,4,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
BRANDMAN,lockin_expiry_aif_vcf_6m,2026-02-11,2026-08-11,4,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
CHAMUNDA,lockin_expiry_mpc,2025-02-11,2026-08-11,4,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
BAGMANE,lockin_expiry_anchor_90d,2026-05-14,2026-08-12,5,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
KEN,lockin_expiry_mpc,2025-02-12,2026-08-12,5,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
727NGEL36,lockin_expiry_anchor_30d,2026-07-13,2026-08-12,5,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
783PHFL29,lockin_expiry_anchor_30d,2026-07-13,2026-08-12,5,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
SIMCA,lockin_expiry_anchor_90d,2026-05-15,2026-08-13,6,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
BIOPOL,lockin_expiry_non_promoter_6m,2026-02-13,2026-08-13,6,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
BIOPOL,lockin_expiry_promoter_excess_6m,2026-02-13,2026-08-13,6,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
BIOPOL,lockin_expiry_aif_vcf_6m,2026-02-13,2026-08-13,6,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
READYMIX,lockin_expiry_mpc,2025-02-13,2026-08-13,6,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
KUSUMGAR,lockin_expiry_anchor_30d,2026-07-15,2026-08-14,7,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
ELGNZ,lockin_expiry_mpc,2025-02-14,2026-08-14,7,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
